Delta,Theta,Alpha,Beta,Gamma,Attention
0.902582523097,1.03028811043,2.16520414458,0.988603958931,2.09944858371,0
0.85914493532,0.91597736942,2.00729974819,0.89498182711,1.82459825698,0
1.0559452606,0.766860890456,1.9004580669,0.910098623019,1.7531817378,0
1.35145221971,0.636499365909,1.86438392614,0.95961745885,1.84123547162,0
1.61099095813,0.58622534748,2.02870445183,1.10206333836,2.16636584614,0
1.6927785119,0.539326485132,2.26274135177,1.36891229081,2.65454898639,0
1.87624871468,0.431086450441,2.46807030229,1.87413663234,3.37300300535,0
2.41297198576,0.333960935719,2.6896105975,2.57949610449,4.43017934948,0
2.98269649227,0.961815452124,1.75092273689,1.82655303175,3.20644351433,0
3.63250905294,1.5394344763,0.82939055507,0.615083377029,1.14105815686,0
4.20260301447,1.71553864345,0.522992174659,0.203854667105,0.364833229705,0
4.58273134215,1.61075652108,0.424892092891,0.106200099069,0.149976259093,0
4.9942617897,1.50289224824,0.393280770041,0.0898955932872,0.0875112201658,0
4.82008523026,1.24276401482,0.336268271491,0.0930509237785,0.0681061977654,0
4.26683943458,0.948278446947,0.284533518801,0.109900343981,0.074265146634,0
3.99796864671,0.858945677164,0.318666518094,0.160424303123,0.117095468826,0
4.64685392582,1.19324506957,0.572788690039,0.292866755199,0.236383138263,0
3.91970670585,1.14009328977,0.628461998971,0.294841412027,0.256208048547,0
3.71451979439,0.875514835929,0.567448323704,0.287156761563,0.265208591694,0
4.00902431504,0.696601155421,0.532304577168,0.366545331538,0.359151506422,0
4.43491574912,0.648159644809,0.582624479809,0.633522591456,0.625933326159,0
3.39384111922,0.751985060285,0.609289371116,0.973900655171,0.92762187126,0
2.46443830356,1.12266313629,0.731642713313,1.59690587479,1.39764468251,0
2.24448485418,1.70734819881,1.08793564649,2.56707070475,2.16288563432,0
2.09715524487,2.73250406064,1.65590297831,3.74513598231,3.11241168834,0
1.68855955744,3.19123466525,1.60033589245,3.5576519012,2.90624691547,0
1.64141111619,2.33185668214,0.769949935312,1.8083877035,1.44790607985,0
4.13986161066,3.19302823465,0.486009373604,1.2155291865,0.993025796414,0
4.72799951992,2.29938984626,0.203565557179,0.410884043481,0.378532183478,0
4.43274040447,1.64075354986,0.1418877709,0.175945455609,0.187802459995,0
3.99682429453,1.16964207206,0.129349412592,0.122004671693,0.12803710634,0
3.70168686148,0.844226610361,0.139273809694,0.135648309447,0.119076749539,0
3.63494201187,0.617961555415,0.184480357392,0.208054090668,0.154353863808,0
2.74846130223,0.345491486108,0.253145117716,0.284161483516,0.213142194231,0
2.35642387862,0.295502360513,0.484915891361,0.470371166644,0.43548714442,0
2.29941209001,0.446484329236,0.968282388262,0.824881356492,1.0093455902,0
1.80608041106,0.518286678402,1.22984605544,1.00385397742,1.51301043397,0
1.8941602756,0.52988351051,1.72873167814,1.37221518059,2.20480996301,0
1.40187897254,0.367677924567,1.88318359919,1.36846656767,2.02716695133,0
1.10377638166,0.302644522772,2.09619001123,1.39462838146,1.84247971379,0
1.31383755972,0.429835370854,2.33419938369,1.57743564121,2.03148251615,0
1.96412254032,0.679524764085,2.00445651526,1.57343647893,2.16829070692,0
2.05947302261,0.822457291608,1.09002264295,1.00096996163,1.51005179129,0
2.39840710218,1.43454273949,0.866461415589,0.840393933378,1.31470905124,0
2.21129913617,2.32327141668,0.910765984279,0.736365835469,1.14285631142,0
1.17537017259,2.2245196005,0.795232649435,0.486420670414,0.750901749469,0
0.710419834861,2.08348420191,0.827415887726,0.399517594328,0.648504990272,0
0.630737183998,1.98634407107,0.967978127905,0.392821618243,0.722879570888,0
0.796649157855,1.935635598,1.1980245163,0.452768118953,0.970614493817,0
1.06174469064,1.94179912158,1.49936334973,0.65009527702,1.49745482931,0
1.35723865379,2.16923938973,1.92567280442,1.38126003979,2.7300919187,0
1.47954456746,2.58097860958,2.09143183405,3.2586395272,4.60112529248,0
1.64942501022,3.11276095147,1.88114220497,5.89942386111,5.9997731267,0
1.93973717934,3.26987113261,1.87811777708,7.5538207571,6.40784662886,0
2.26771737891,3.14446639932,2.50855750351,8.58130857257,7.42603434047,0
1.8992476398,1.95868730067,2.66169711303,6.76568443348,7.07635709274,0
2.02767958637,1.41618488154,3.34368289933,6.24748088788,8.20931613856,0
2.09435795475,1.37796166879,3.8047915427,5.57060322631,8.46762453093,0
2.10358397527,1.85390526514,4.15268276685,5.20580922663,8.4909939878,0
2.14371800259,2.61476212141,4.04838700515,4.93705390008,8.4097687753,0
1.80616884133,2.40142988894,2.52683807528,3.41759181501,5.96320222075,0
1.97201317498,2.42516410174,1.85692791656,3.1495168559,5.12590085304,0
2.47440231373,3.11235067122,2.17321952048,4.3783508748,5.79972563972,0
1.94420665988,3.56436645293,2.48438506385,5.09912003336,5.54100602711,0
0.887186675985,3.43450704391,2.18419159083,4.19436460682,4.50502658925,0
0.51973364462,3.71225476454,2.05966515135,3.72488208876,4.58688664521,0
0.81688376495,3.69963893112,1.88916326393,3.67638023242,4.74543228545,0
1.1237337584,2.37936914946,1.29240512593,2.9988914997,3.2276088769,0
