lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
87832,19850,19943,14887,4751,6796,826244,75585,81,41
87832,19850,19943,14887,4751,6796,826244,75585,81,41
68570,65947,27130,20628,15102,2639,401155,48617,63,40
68570,65947,27130,20628,15102,2639,401155,48617,63,40
49357,6237,19782,18751,9007,1612,156004,158280,27,30
1301,3785,2550,1720,2329,1110,174135,33534,27,38
17144,39656,10982,20235,34681,13585,295308,129334,50,43
57172,4140,7027,10916,7278,6082,48578,43106,64,57
13896,14579,6083,11782,4339,2351,20649,36826,69,66
50428,6151,49164,14941,7713,3817,692659,46677,69,60
10080,9718,14239,5321,2813,2062,98993,46648,66,53
42628,28441,12759,25151,13351,1571,134310,263777,63,50
37230,22021,14517,21452,20784,39704,2741969,625030,38,40
37230,22021,14517,21452,20784,39704,2741969,625030,38,40
25322,47197,20712,32146,25086,10797,597840,219314,40,54
28229,11852,15575,6237,20214,12181,1604284,42210,50,48
28229,11852,15575,6237,20214,12181,1604284,42210,50,48
30655,9444,17053,12742,22509,16508,71957,283495,44,47
5346,2683,7381,8768,6339,2135,380251,125847,20,21
5346,2683,7381,8768,6339,2135,380251,125847,20,21
5346,2683,7381,8768,6339,2135,380251,125847,20,21
107395,14894,62331,53702,22159,10482,777748,147551,51,53
7689,14935,13901,16744,29904,27816,325315,39942,40,60
60759,16352,24225,19241,8014,4581,320975,160681,47,56
984,9822,11935,4479,8813,4393,9557,66102,43,60
24209,22538,19512,11637,8530,4036,408592,172601,47,40
24209,22538,19512,11637,8530,4036,408592,172601,47,40
11326,2334,2529,60589,17956,5473,12149,17743,43,67
11326,2334,2529,60589,17956,5473,12149,17743,43,67
4821,14534,10846,21802,23956,11659,33633,17792,63,93
27181,13854,13973,40361,21687,13881,112675,171133,38,67
17817,36773,9217,6193,5102,1445,1138995,38185,48,43
17817,36773,9217,6193,5102,1445,1138995,38185,48,43
11883,7273,5089,5786,5506,2205,18190,20427,48,29
5092,5383,5288,6925,2338,4138,11395,16574,67,51
125974,41024,61348,24866,28195,18264,990380,273486,69,53
125974,41024,61348,24866,28195,18264,990380,273486,69,53
1817,37922,14051,4364,7040,4589,5587,24726,61,53
1817,37922,14051,4364,7040,4589,5587,24726,61,53
15549,4513,12295,8100,1676,1348,868218,38844,43,30
15549,4513,12295,8100,1676,1348,868218,38844,43,30
12067,12101,3183,5215,6559,2149,5404,22703,78,57
19288,11922,33196,27183,40669,10847,12340,15806,63,57
65602,44265,11066,30146,28885,9205,964762,133514,53,61
31975,44981,12474,13435,4607,1812,1466495,44283,77,63
22609,13471,10108,7691,9150,5258,1021369,156900,54,26
22609,13471,10108,7691,9150,5258,1021369,156900,54,26
22609,13471,10108,7691,9150,5258,1021369,156900,54,26
17509,10459,8599,9819,23033,4545,11517,34161,66,50
17509,10459,8599,9819,23033,4545,11517,34161,66,50
17509,10459,8599,9819,23033,4545,11517,34161,66,50
30722,9628,28738,26201,19892,10948,561768,43524,53,35
2196,1155,3283,2408,1506,626,582792,15473,41,56
24454,8581,5132,30381,24019,12688,293259,36197,48,60
4619,8457,24236,28090,10456,2763,11725,11953,37,83
7031,2558,15298,10161,14842,3008,11763,11425,30,87
