lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,poorSignalLevel,meditation,attention
27159,42194,359179,124986,135870,76184,324102,284982,200,0,0
286320,244654,211914,129238,87768,93751,294185,784146,200,0,0
286320,244654,211914,129238,87768,93751,294185,784146,200,0,0
173917,128457,249117,203759,97721,58750,515613,830311,200,0,0
661212,142450,221565,127600,58945,57866,1256267,231107,200,0,0
75348,124193,318531,133056,83096,184507,328991,110469,200,0,0
204214,114716,316815,103917,51212,298784,613599,210803,200,0,0
103780,151071,385124,102563,125522,32237,799147,501824,200,0,0
246917,425274,110437,202972,85836,54371,482566,221092,200,0,0
255732,132640,619461,126514,90943,32381,291006,393180,200,0,0
271672,81387,171799,97788,221331,31225,150978,338116,200,0,0
169859,168481,72115,95979,134439,41848,1507191,332375,200,0,0
169859,168481,72115,95979,134439,41848,1507191,332375,200,0,0
262836,311799,130899,60853,151701,70612,1081473,446634,200,0,0
134735,169690,120501,149570,152227,26177,767929,610311,200,0,0
98450,88072,212761,302992,77189,146067,173498,203866,200,0,0
225704,193331,136941,66316,160346,206385,727296,244636,200,0,0
212654,37588,438241,72806,107965,98857,633070,567194,200,0,0
267194,305095,636411,550129,527102,183826,861552,1419046,200,0,0
510575,88006,182860,108173,60464,100304,750870,339605,200,0,0
142628,89003,231773,88440,59730,123824,430586,72031,200,0,0
80280,123218,111374,175823,167614,95910,910889,739303,200,0,0
80280,123218,111374,175823,167614,95910,910889,739303,200,0,0
138330,166949,137669,54064,74136,75548,125454,720910,200,0,0
241660,103037,188111,55768,59626,231204,958602,273769,200,0,0
142823,144080,170581,75069,83697,101273,411300,426160,200,0,0
373562,125809,92495,145407,83900,95868,631349,293947,200,0,0
621452,153832,81262,280721,105277,98678,257207,70711,200,0,0
58451,204959,175873,137066,193514,81006,1213582,349231,200,0,0
112496,229337,112522,155400,56800,60344,616305,970406,200,0,0
200623,98624,251852,117329,104614,116182,1133873,445801,200,0,0
199212,229214,84356,73198,63054,88070,451655,860774,200,0,0
77540,276855,227198,95435,63810,50155,385173,341254,200,0,0
81157,59482,176694,160090,91200,197876,439750,393935,200,0,0
71446,284461,193846,76327,81725,100600,417677,277066,200,0,0
175593,205231,196766,194861,251902,56346,898267,734885,200,0,0
76623,32901,180749,44645,126621,81853,234121,598147,200,0,0
773740,184753,107241,89973,75052,76364,887241,399652,200,0,0
215361,77457,152344,85479,164710,83818,779303,343572,200,0,0
305381,167765,124229,109477,82760,80085,1319880,669970,200,0,0
438391,42977,153280,102180,48562,48140,369696,132510,200,0,0
122938,72318,240501,63812,44344,65089,630427,452203,200,0,0
122938,72318,240501,63812,44344,65089,630427,452203,200,0,0
477948,174633,183038,175067,93360,84758,435120,397111,200,0,0
349948,90921,134367,68593,143860,110388,1146087,336151,200,0,0
103883,139953,191394,130364,187016,160334,301363,383356,200,0,0
262645,73555,128856,100139,107405,145986,1592559,392583,200,0,0
301079,139735,144924,145512,65039,104523,508661,431826,200,0,0
227910,119764,90052,83197,74136,88952,463975,340751,200,0,0
147738,122789,166999,162839,66732,114996,787145,97803,200,0,0
154153,115383,196877,121725,37963,122403,210152,833673,200,0,0
192191,323367,78002,95844,93607,83861,245036,704686,200,0,0
447993,155404,166766,189288,68271,78374,277551,399263,200,0,0
34252,212606,172939,77360,58934,141867,233461,854727,200,0,0
74354,319292,266543,89140,113720,85959,1080514,229611,200,0,0
110057,334676,217811,147731,117980,93931,1227230,801809,200,0,0
70848,91496,100606,94639,71370,61898,1295378,436907,200,0,0
93939,44478,600999,64729,89199,91902,381923,340275,200,0,0
40314,211487,117218,161327,113337,154968,1289412,828200,200,0,0
51109,98835,132928,126578,109865,163315,1855176,400937,200,0,0
117660,136308,58410,83644,97662,62556,987199,658739,200,0,0
89494,102953,170593,224475,106831,171735,707967,258102,200,0,0
13391,39267,198432,71423,82460,66409,491617,623624,200,0,0
151128,93432,66945,242124,112514,81734,1080521,532836,200,0,0
117212,113292,429112,39538,157356,74583,314990,484149,200,0,0
245647,102013,123951,88261,170714,292859,892962,732153,200,0,0
361409,117305,197983,82531,60008,53434,158279,226955,200,0,0
205786,101032,197122,104146,136295,94074,442004,511452,200,0,0
