lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
47298,13838,21184,18912,8035,3511,79686,146052,51,66
46237,86017,26118,11530,12601,5705,617004,276470,60,38
46237,86017,26118,11530,12601,5705,617004,276470,60,38
8224,4968,2960,1238,687,453,72755,24807,51,35
60574,51918,130089,73727,47187,62081,823967,477794,44,61
60574,51918,130089,73727,47187,62081,823967,477794,44,61
60574,51918,130089,73727,47187,62081,823967,477794,44,61
130012,78373,45339,38568,6560,4381,1624291,441744,60,30
13370,34500,11203,7627,8266,8237,48889,135358,56,23
7857,99616,61813,18640,13032,11385,489206,302182,53,35
7857,99616,61813,18640,13032,11385,489206,302182,53,35
3187,4017,6056,6641,2547,898,783871,21878,56,60
3187,4017,6056,6641,2547,898,783871,21878,56,60
21885,11517,15660,8931,6387,3476,222632,129518,43,48
119741,59247,49144,12357,6690,4573,1643776,413834,53,20
119741,59247,49144,12357,6690,4573,1643776,413834,53,20
147092,131130,31612,35852,20265,12841,1601467,840184,44,21
79182,50414,12089,16949,8253,21095,556019,259309,51,41
58380,31803,25122,26171,5663,4976,107763,108358,64,43
44986,144183,82976,55804,24869,11432,2328983,980133,41,41
44986,144183,82976,55804,24869,11432,2328983,980133,41,41
44986,144183,82976,55804,24869,11432,2328983,980133,41,41
69554,39781,14945,15019,17649,2895,3331488,407330,13,47
84078,19594,65251,25804,43111,7718,846132,157839,37,29
5438,24300,11325,19732,7816,1308,700258,48967,40,44
18617,136496,34021,37198,54311,29055,460288,398593,48,48
10775,7411,25042,13304,7954,5210,323781,89795,53,43
7312,24024,31339,32443,28748,6722,872543,416751,43,53
6301,37759,6405,8587,1600,630,817645,23686,64,47
6301,37759,6405,8587,1600,630,817645,23686,64,47
6301,37759,6405,8587,1600,630,817645,23686,64,47
15286,18831,9372,35927,10270,1688,818996,146306,41,54
17059,21178,14677,15865,18512,4974,431837,118822,56,51
112917,82284,23797,13830,13483,3751,2817621,423167,74,21
112917,82284,23797,13830,13483,3751,2817621,423167,74,21
2072,5319,5223,2595,1533,916,442610,52263,53,4
20795,35435,19902,13750,5458,2072,588271,179694,44,29
22143,24320,7649,17216,13577,2618,891666,105649,53,40
9474,4641,8586,6625,3585,2771,389384,44247,47,51
9474,4641,8586,6625,3585,2771,389384,44247,47,51
9474,4641,8586,6625,3585,2771,389384,44247,47,51
9474,4641,8586,6625,3585,2771,389384,44247,47,51
113972,48521,75234,18151,14210,20068,1802523,627858,67,35
8282,22069,8411,10831,5872,6266,1824517,460867,51,17
22710,34874,33598,28724,38631,15782,801758,58135,57,48
8570,2391,2355,3181,507,454,85844,21684,75,64
10882,8042,6867,13311,2769,2364,276223,431552,40,38
15665,47110,2976,7630,1581,1769,1131634,64876,40,13
10264,13834,8793,5359,1427,240,813625,23430,44,29
26776,37510,11058,7662,12709,2317,1183310,86820,44,29
26776,37510,11058,7662,12709,2317,1183310,86820,44,29
26776,37510,11058,7662,12709,2317,1183310,86820,44,29
11637,10372,12367,3737,6953,789,368376,45047,56,54
8119,3004,2321,5856,8408,2246,236916,21238,43,40
8119,3004,2321,5856,8408,2246,236916,21238,43,40
8119,3004,2321,5856,8408,2246,236916,21238,43,40
16276,7123,14230,11434,3158,1284,47593,76519,61,44
170192,103630,68521,18792,14659,20195,1493955,395921,75,41
55456,94538,19842,27108,6520,11984,814717,227938,66,43
10820,5893,10246,8397,7520,2602,653620,72554,50,51
7787,7912,18903,13206,2107,1001,370206,45502,57,61
7787,7912,18903,13206,2107,1001,370206,45502,57,61
18853,7373,24658,12960,10631,3810,383373,315854,53,24
18149,82516,21762,15857,14261,6036,887686,404043,30,27
6112,3253,2782,924,372,167,264966,40258,34,16
40834,42029,27998,14529,4673,3353,724871,368220,44,44
99999,74140,38817,16055,9045,2238,1821883,1208888,35,30
180948,19410,37858,73875,8011,19613,1299950,109651,48,34
180948,19410,37858,73875,8011,19613,1299950,109651,48,34
180948,19410,37858,73875,8011,19613,1299950,109651,48,34
3113,12219,2127,4980,2563,3286,1307649,110588,26,38
48831,37672,33419,8692,7469,1808,2051112,184273,34,23
39093,15438,9268,29388,16758,4634,1579466,194557,47,30
