Delta,Theta,Alpha,Beta,Gamma,Attention
3.8408343952,0.647554438735,1.31954025545,2.30266106535,3.52293246901,2
3.54596952631,0.442808284663,1.10525628827,2.84236401286,5.15459875923,2
2.59354813095,0.800294812613,1.01149823794,3.15405242386,6.22004311393,2
1.4643573546,1.74108031996,1.22625707321,2.74861151248,5.28370299881,2
1.11549158625,2.98972366432,1.70326528538,2.90475258017,4.58608479364,2
0.875249884202,2.96109670967,1.59969844984,2.7387347037,3.2628652488,2
0.813464273659,2.33338938211,1.38564238373,2.66855216423,2.54751068747,2
1.02431508846,1.87694637294,1.54016424037,2.96030416592,2.74428474279,2
1.39222916427,1.44662839546,2.02016126032,3.14567626815,3.45578467945,2
1.44790587194,0.927520090663,2.07615885449,2.57808841788,3.49023083859,2
1.46874932631,0.719542163064,1.84644133554,2.50373035628,3.44312708842,2
1.56053894837,0.694749706124,1.37632087321,2.88692437831,3.24122071869,2
1.67123240847,0.690135713515,1.02104360429,3.04999070326,2.74307254704,2
1.81954751374,0.690570273789,1.20336808543,3.08914377098,2.43699004435,2
1.8399394642,0.737728547936,1.72358412534,2.96130458193,2.25149231619,2
1.85305993334,0.940402679372,2.53298143413,2.94200199312,2.33104542375,2
1.36530371962,0.955613602049,2.6186923728,2.23226781727,1.99038881527,2
1.13461144096,1.16052403214,2.91849135176,2.12958747638,2.17210434822,2
1.05858179285,1.70209962193,3.64092049578,2.77297472281,3.02204004458,2
0.66562626665,1.73160837916,3.05884797752,2.83175096003,3.08301457834,2
0.539928543165,1.57542980166,2.31786448465,2.78043031757,2.97071351662,2
0.868187434325,1.37114738853,1.85687079071,2.75217036294,2.88549871936,2
1.5041864905,1.1446915799,1.75820820461,2.91438746669,2.90014485769,2
2.15554055024,0.989979712251,1.84781670939,3.50597634178,3.07012011006,2
2.35617586756,0.788493022639,1.75572215026,4.01788066194,3.04338868454,2
2.17509793658,0.751667934216,1.54134518552,4.39479154635,3.0527602043,2
1.65920711915,0.966825790686,1.25473154588,4.34306570735,3.03383713396,2
1.16807762304,1.23572761545,1.05452026445,3.98661243731,3.06150973638,2
0.970106823305,1.22648024584,0.944849850484,3.59197193084,3.09456337402,2
1.10323582127,0.949347497171,0.905136435263,3.3722765247,3.03505205962,2
1.56066640676,0.690638470566,1.05237331791,3.54696792637,2.91874237456,2
2.21889740913,0.718887749316,1.44931825604,3.95301097048,2.77406899591,2
2.63410860059,1.13680939509,1.93134549385,4.21690452454,2.64537504792,2
