delta,theta,alpha,beta,gama,Color
10.7726880433,0.879779273406,-3.83187255419,-26.1630230978,-17.5240814756,red
12.6128318919,0.340420699677,-1.63456766316,10.8907522147,-20.0343173266,red
14.5801900545,-0.379791260734,1.38298146328,42.8119626414,-9.1134458483,red
16.6501421385,-1.28245214327,5.04785426497,60.832350451,-0.319730035743,red
18.7921343555,-2.35823773264,9.07077765202,61.6107034167,1.76823117931,red
20.9699817572,-3.58542199041,13.0627156077,47.6603277959,3.16495354179,red
23.1423718993,-4.92891828825,16.5662556959,25.4896502484,7.61709086632,red
25.2635494156,-6.33998790624,19.0993340835,2.56014877089,10.7586208397,red
27.2841540104,-7.75673313539,20.2071898359,-15.4581437783,6.90468911462,red
29.1521769937,-9.10545652798,19.517189833,-26.0486196746,-2.94048430116,red
30.813996605,-10.3029217611,16.7904991184,-29.5821530451,-11.8724191439,red
32.2154556885,-11.2594920956,11.9646253548,-27.9666085132,-13.7390787314,red
33.3029539238,-11.8830561957,5.18158294792,-23.1462408308,-7.47691114039,red
34.024533216,-12.0835900966,-3.20236643012,-16.2687495549,3.26098859177,red
34.3309391144,-11.7781521785,-12.6278321495,-7.81419344327,12.4530855811,red
34.1766445679,-10.8960670359,-22.364809293,1.64013207301,14.4897321486,red
33.5208217763,-9.38402980053,-31.5651211231,10.7004176592,7.53602731266,red
32.3282439721,-7.21085555896,-39.3313481141,17.0898136836,-4.26116482707,red
30.5700958609,-4.37160504093,-44.7969749726,18.4193208722,-12.8570326972,red
28.2246717763,-0.890834806741,-47.2109590791,13.4516122645,-12.4177913248,red
25.2779439942,3.17525256271,-46.0188933208,3.15903217953,-4.1982440512,red
21.7239868036,7.73794290079,-40.9326097687,-9.10986950824,4.84147035746,red
17.5652437304,12.6765621816,-31.9805610813,-18.6374691931,8.50120763614,red
12.8126302385,17.8405209413,-19.5325902447,-21.1849677156,6.3784246319,red
7.48547459291,23.0528689202,-4.29467873984,-14.8593270251,2.61273227442,red
1.61130965127,28.1153153734,12.7281134787,-1.11548609182,0.373487253612,red
-4.77446680943,32.8146016915,30.2992128485,15.5950985475,-1.25386209102,red
-11.6290453116,36.9300413768,47.0440812134,29.4038094037,-4.41725443137,red
-18.9027578577,40.2419716304,61.562258624,35.1774572229,-7.76011573673,red
-26.5397247241,42.5407965754,72.5480779787,30.381280889,-6.66061687014,red
-34.4785910481,43.6362559561,78.908921342,15.9730936924,0.925152968028,red
-42.6533418139,43.3665330492,79.8698156333,-3.91774554288,10.1035860214,red
-50.994169916,41.6068185022,75.0542694659,-23.3369679462,12.3988365688,red
-59.4283632595,38.2769606285,64.5332661168,-36.4181559649,4.20414950205,red
-67.8811816643,33.3478483082,48.8369789867,-39.2967705644,-8.5592309412,red
-76.2767081895,26.8461947549,28.9269280803,-31.4395295848,-14.8854744364,red
-84.5386721733,18.8574297124,6.12982441931,-15.8827272562,-8.46212381077,red
-92.5912464353,9.52646998544,-17.9620023012,1.84354476694,6.08530299312,red
-100.359818514,-0.943778419532,-41.6153235932,15.8275155354,16.3176732046,red
-107.771731276,-12.2962383972,-63.0949744717,22.1149130486,12.4104073133,red
-114.756987954,-24.2257562579,-80.8046371206,20.2276099128,-3.6093830465,red
-121.248920902,-36.3873367517,-93.4167948308,13.1078283222,-18.2437429397,red
-127.184826222,-48.4062921627,-99.9802083399,5.48817693544,-17.5688725848,red
-132.506563477,-59.8899894243,-99.9953510245,1.49902618438,-0.28587440736,red
-137.161114461,-70.4407982695,-93.4512471906,2.7072729391,19.3534209153,red
-141.101094215,-79.6697820525,-80.8208624798,7.51643200349,23.2036613081,red
