lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
56726,44578,18931,33778,27981,38477,493088,169941,77,16
11491,6069,2285,12064,12071,9683,5622,14163,64,57
11491,6069,2285,12064,12071,9683,5622,14163,64,57
10864,8713,12140,3969,1947,3937,396683,32383,51,57
89316,76155,8507,13892,17686,2437,1116041,73212,70,37
3255,18792,9795,18951,9001,4018,28503,13692,75,43
3255,18792,9795,18951,9001,4018,28503,13692,75,43
8247,10119,3498,6164,3133,2921,46202,35935,40,17
11154,5872,2275,7512,3742,2079,83706,18498,53,34
32801,12110,5071,11140,5364,3388,1658099,30422,78,51
5790,11139,5626,9727,12353,2872,539198,41057,70,37
5790,11139,5626,9727,12353,2872,539198,41057,70,37
3055,3514,14964,8258,2147,2580,24253,28143,37,44
18263,2413,2247,9268,6588,4343,16620,51095,30,41
11087,538,2779,3850,5744,1016,15974,4566,63,56
3275,8580,9651,6247,9227,4729,59494,102096,47,63
2126,11055,2704,3250,1226,817,547946,31915,24,44
35869,47490,50516,32375,13896,6426,2136599,142266,38,24
35869,47490,50516,32375,13896,6426,2136599,142266,38,24
16879,13313,13155,22110,9388,3993,917802,79764,56,43
48019,20217,37190,12259,7589,3556,397167,265543,34,34
2746,5153,5402,3564,3096,2939,19862,11379,50,27
7786,13410,17485,19693,5530,2208,309808,86752,50,47
20047,6664,8589,12963,6775,5444,161721,121304,43,34
6568,30428,19887,10676,9190,6966,668012,55518,40,30
6568,30428,19887,10676,9190,6966,668012,55518,40,30
10796,2732,10939,6192,4106,1374,243786,14587,40,30
16810,16002,18603,7410,7375,1388,28655,30387,53,38
16810,16002,18603,7410,7375,1388,28655,30387,53,38
13417,3592,48464,21482,9196,11168,116072,26668,29,53
1900,11559,23422,15870,4919,4986,22857,32592,40,75
11105,4091,12862,7539,6371,4005,744979,100882,48,66
3625,9484,13553,18718,3309,3999,11013,92510,26,54
31665,6711,12767,4694,4188,2346,16924,89264,43,43
16350,21297,23983,18533,8586,8935,792912,130691,56,24
21897,21575,27629,18088,18460,10209,41716,36020,50,47
16534,17389,11331,8832,9200,2342,1499224,99172,61,53
78865,57864,37794,21236,30403,4137,389663,77301,63,34
106200,116887,168507,126002,25163,7867,964119,109578,56,51
106200,116887,168507,126002,25163,7867,964119,109578,56,51
21450,9281,4095,4170,1322,546,358739,28607,43,50
25438,4253,10515,12079,3531,1079,7972,41643,53,43
9470,13974,14302,12915,4159,1539,7271,73189,48,34
2031,8309,7307,15464,3161,3320,21140,95712,27,41
276,1728,2219,1399,797,561,1329,12215,14,63
276,1728,2219,1399,797,561,1329,12215,14,63
40801,146124,99512,25434,22492,24735,1370836,556993,21,7
