delta,theta,alpha,beta,gama,Raw Data,Color
119.826030423,24.969543002,36.1107606575,-13.976372986,10.8013112192,38,blue
113.713636967,34.7186847762,54.7618565262,-13.8664242924,26.6762828687,-291,blue
106.609610225,44.2085418501,70.9688433258,-6.94398687997,11.0744114201,311,blue
98.5413334375,53.0747660159,83.3769998606,3.33557533585,-17.5468159802,-210,blue
89.5474868282,60.9484199046,90.8500615653,12.0958086319,-24.38183985,-88,blue
79.6776024021,67.4694824391,92.5758808213,14.9911915787,-1.43108991352,112,blue
68.9914562353,72.3007621084,88.1482858021,9.97641420148,22.2771953936,-324,blue
57.5582987581,75.1416826501,77.6165788004,-1.80191124816,17.2105645599,241,blue
45.4559424255,75.7414086289,61.4972385664,-16.2972278625,-9.493034635,-65,blue
32.7697420452,73.9107991896,40.7460286145,-27.9487458866,-23.7855193585,-100,blue
19.5915047509,69.5327044706,16.692350741,-31.744522375,-8.39924259597,260,blue
6.01835310482,62.5701492705,-9.05900644857,-25.283428258,16.178885712,-274,blue
-7.84844643072,53.0720005334,-34.7506454279,-9.99951576341,19.5906809877,188,blue
-21.9046803784,41.1757943288,-58.6094410926,9.1191210973,0.422889037152,38,blue
-36.0443996527,27.1074978572,-78.9856459598,25.3915811459,-14.6595034231,-185,blue
-50.1611307535,11.1780965154,-94.4819805217,33.1846379063,-7.91317791613,301,blue
-64.149073939,-6.22298776161,-104.061368602,30.2920321529,7.05820659561,-229,blue
-77.9042772973,-24.637521232,-107.123973867,18.8071487542,6.49425943194,123,blue
-91.3257736024,-43.5508789768,-103.547051897,4.06238876806,-9.17117212317,173,blue
-104.316664806,-62.4068995314,-93.6846195481,-7.85186462107,-15.321737383,-209,blue
-116.785136757,-80.62470837,-78.3277066466,-12.7982770673,2.24547112695,330,blue
-128.645392558,-97.6169660861,-58.6296983906,-10.2852718066,25.0227111354,-157,blue
-139.818501805,-112.80894018,-36.0045255294,-3.41235172252,23.0718961832,53,blue
-150.233164467,-125.657756084,-12.0077509081,2.85501446936,-6.22780246675,328,blue
-159.826382848,-135.67115582,11.7882531905,4.243490657,-32.0426377481,-216,blue
-168.544027527,-142.425088059,33.9138407135,-0.664113786845,-25.7672105417,340,blue
-176.341289436,-145.579488378,53.1060559482,-9.73686510634,5.15931839231,-25,blue
-183.183025048,-144.891676411,68.3885474823,-18.4310389531,26.8100432978,-34,blue
-189.044006388,-140.226875391,79.1216876767,-22.1233553139,19.1388078688,371,blue
-193.909084299,-131.565448251,85.0204586361,-18.3881468029,-3.02918085909,-204,blue
-197.773266467,-119.006544666,86.1410825859,-8.06629671593,-12.3726118406,266,blue
-200.641711954,-102.767973256,82.8403856851,5.28659178269,-3.6643294101,25,blue
-202.529653076,-83.1822497229,75.7141829613,17.1114150549,3.76475351457,-137,blue
-203.462258957,-60.6889053174,65.5225402945,23.7843532567,-3.89490047914,370,blue
-203.474450336,-35.8232627328,53.1105051776,23.9159379656,-14.5740710323,-219,blue
-202.610665472,-9.20199787442,39.3327006013,18.5691899538,-7.56642000347,147,blue
-200.924575265,18.4940843746,24.9889532295,10.450197885,15.1907608269,99,blue
-198.478753996,46.539526111,10.7760736489,2.52213668285,27.3164371454,-226,blue
-195.344314152,74.1853278864,-2.74147245517,-3.27326033866,10.7301109892,313,blue
