Delta,Theta,Alpha,Beta,Gamma,Attention
5.27519798787,2.05028281731,0.76442688933,1.53176358477,0.571966070898,1
7.56075702707,2.89025312495,1.12221621035,2.44631551728,0.900519589981,1
7.04210707316,2.63034307152,1.06129005799,2.71067634834,1.02631193739,1
5.31571828972,2.25097093937,1.02870117749,2.80651119427,1.20281132904,1
4.4867982825,2.75420863379,1.64231854615,3.84315728568,2.00963176913,1
4.74846019368,4.12437780888,3.75532225007,6.87848033428,4.28176024631,1
4.02112589928,3.51618204849,5.31941531071,8.38566632173,5.66341890763,1
3.33851246,2.37123013657,5.26618029189,8.08846363643,5.55999076062,1
3.50247733238,2.70812158198,6.0110629546,9.49307815482,6.26403426328,1
3.21651797401,3.67421192844,6.48756980623,10.4201525184,6.1357310322,1
2.44221340094,4.10761276937,6.43471921132,10.1184146784,4.86012185874,1
2.08371307278,4.29437144739,6.82135741346,10.2571370603,4.02926623291,1
2.23723434389,4.93528500569,7.49985299571,11.0267437281,3.91229074398,1
2.64828053512,5.63332871737,6.77478769456,10.4281760576,3.73433391165,1
2.4759422104,4.65490817965,3.80150446701,6.88317572191,2.57407710412,1
2.70228584146,3.99096176264,2.14300861457,5.14782699577,1.95048000886,1
3.82856096285,0.465467929337,1.54183676961,2.25864235632,1.45996257253,1
3.11399370189,0.588940320365,1.56883168965,2.70811541577,1.64454876561,1
2.48031602606,0.897066723257,1.46268963399,3.09945115549,1.93343467676,1
2.60754778546,1.50781131221,1.47696162897,3.56300087791,2.49385851141,1
3.78182441082,2.7189695742,2.33642379868,4.77534836271,3.64571958519,1
3.44865079517,2.74500247372,3.0531609849,4.38434164583,3.30579103934,1
3.16668865329,2.66073381275,4.24606389599,4.59073903677,3.32199779829,1
2.7179369715,2.22927564087,4.85962735561,4.46666864486,3.31956842636,1
2.91682439069,2.09247259488,5.41399587687,4.91412861838,3.99637009604,1
3.22940626104,1.91246485232,4.78137981526,5.42004996817,4.51551317896,1
3.45594153905,1.77747278411,3.65233481258,5.99633323321,4.5208671582,1
4.93651908817,2.21155241472,3.92293754435,8.2421638974,5.58199552629,1
5.44533239876,2.07983685665,3.30199559514,7.69939334261,5.02038256189,1
4.16719103914,1.49668768367,1.96975301282,4.72977365291,3.17120473072,1
3.39081077038,1.51672775408,1.48698802644,3.4562760808,2.40471560242,1
2.86658206804,1.91011114013,1.48224489737,3.23912480699,2.24912730714,1
2.45787606425,2.47582088193,1.65567091299,3.67778224,2.4669558165,1
2.35725382543,3.27831839926,1.819782928,4.82784385394,3.14661705693,1
2.28330645059,3.83199599451,1.59692514672,5.5682043839,3.63130938459,1
2.29163666343,4.114504245,1.4847731878,5.55429930392,3.71136553607,1
3.25788559493,5.87572369592,2.70189384807,7.46936284093,5.07557344022,1
2.94156078586,4.85151181038,3.25364450847,6.33663331554,4.27882795528,1
2.58934297307,3.5814278049,3.30184688854,5.11675222828,3.52307930908,1
2.67586433557,3.12499515802,3.40820086937,4.63257332454,3.45700262939,1
3.39772541555,3.51583295504,4.01988758094,5.08580149917,4.18978316395,1
4.13373236999,3.79552564268,4.51809269933,5.93371143364,4.89657362736,1
4.25250248357,3.24937420364,4.28292041572,6.70709092994,4.94835477272,1
4.42306759921,2.66570135867,4.12351952446,8.04244718012,5.39148923607,1
4.41444126366,2.32237404227,4.34551547569,9.80965488924,6.38398497963,1
3.22442457785,1.78578964608,4.03038046968,9.25599643316,5.85282345438,1
2.58851284813,1.7851100628,4.13266755835,8.85164102598,5.34752071948,1
