delta,theta,alpha,beta,gama
73.9929631488,3.80077872825,8.67048297895,-22.7371571029,3.4638434125
76.9169913133,4.58520220238,9.85440217915,-28.5669220998,7.73633292916
80.1183817616,5.29317262319,10.0752211336,-24.2774606961,8.11651060406
83.6160387321,5.90490704855,9.25812925761,-11.5149974915,6.13917625336
87.4295205393,6.40272756995,7.43149697821,4.70140472216,1.17576276852
91.5789896767,6.77146848668,4.72952210095,17.9180215304,-6.27112818439
96.0851529469,6.99882455336,1.3838570356,22.8204306363,-11.2979519559
100.969178832,7.0756236341,-2.29570796,17.3960393609,-8.35685434854
106.252590787,6.99602068904,-5.94999476083,3.83181878986,1.64903212282
111.957144255,6.75762110534,-9.20583291698,-12.2460281532,10.3347575303
118.104692652,6.36153964801,-11.7144754956,-23.9827758035,9.60278891298
124.717041249,5.81239491432,-13.1890028904,-26.1297056823,0.423750821483
131.815784961,5.1182363505,-13.4366606477,-17.3104516078,-7.42651653715
139.422132549,4.29040780636,-12.3824011811,-0.669232440598,-5.54856985431
147.556729097,3.34336123825,-10.0806543825,17.4476285996,3.41573733329
156.239489532,2.29443406975,-6.71361131527,30.1736370983,7.92680451917
165.489449494,1.16359519433,-2.57588700376,32.9149782056,0.685934320555
175.324634967,-0.0268424780621,1.95298699253,25.0241879192,-11.3767033564
185.761952612,-1.25254595425,6.44543952183,9.74323338061,-13.1779912197
196.817101734,-2.48752735602,10.4682544789,-7.38571488851,0.962640831301
208.504504405,-3.70455933263,13.6259817644,-20.8260437847,18.2322286109
220.837248056,-4.87565020117,15.6007573029,-27.0454464578,19.5491984882
233.827034247,-5.97258571702,16.1843556268,-25.4424712749,1.14343021359
247.484130188,-6.96753691572,15.2992179242,-17.9895643994,-19.5354161288
261.817319454,-7.83372834663,13.0064051381,-7.97252639069,-21.9102387628
276.833829746,-8.54617396981,9.49962545432,1.42484529739,-4.53281593532
292.539193806,-9.08250204341,5.08579337548,8.05412239742,14.2247512851
308.937020342,-9.42385814207,0.154368654643,11.1494443239,17.6199386345
326.028726969,-9.55578834196,-4.86026632891,11.3794857461,7.69633081597
343.813347689,-9.46894113415,-9.51817198564,10.6469812104,-2.50202023216
362.287495018,-9.15947149126,-13.4107687125,11.1910671882,-8.38107178462
381.445458487,-8.62915161097,-16.1932387827,13.8456148336,-14.8928304788
401.2793568,-7.88527721176,-17.6117230587,16.4826017802,-18.0746371406
421.77928093,-6.94044720965,-17.5244905876,14.3723077481,-1.68898978617
442.933425368,-5.81223513883,-15.9154907411,3.16020005008,34.0893717404
464.72822995,-4.52274484622,-12.8985738519,-17.0981398414,51.7743470833
487.148529783,-3.09806926649,-8.71144753171,-39.8527475271,11.2730302484
510.177681797,-1.56770056171,-3.69941843183,-54.0472720857,-66.6683128811
533.797642243,0.0360693334817,1.71040268006,-49.6058458577,-97.5890567075
557.9889996,1.6787551434,7.04329295293,-23.3958087789,-23.269441613
582.730982708,3.32430929664,11.817551022,17.8167390562,100.789551978
608.001448841,4.93578180832,15.5884053587,59.2429095751,142.56557098
633.77683624,6.47599298694,17.9910098942,84.0589437798,38.4168678274
660.032068308,7.90820644821,18.7780577826,80.7818140275,-118.328696544
686.740416579,9.19681084487,17.847960389,48.6481660356,-165.215128947
713.873338311,10.3080264694,15.2602593472,-1.55348447121,-49.2769049119
