delta,theta,alpha,beta,gama
-372.721932892,-2.857327703,19.8387225097,-9.05138051161,-15.3874387163
-404.563443651,-2.87989623813,28.5036514557,-6.28129098975,14.2230005883
-438.582194716,-2.64582246077,35.4023217763,-1.24955745098,30.8901468942
-474.896344854,-2.17431541167,40.0084706916,4.07787867954,21.4386041841
-513.629204113,-1.4962088137,41.9657151109,7.410213419,-3.64619106785
-554.909318684,-0.65215531075,41.1152852572,7.26148059959,-22.711676858
-598.870519481,0.309614145555,37.5071194913,3.6896250926,-22.9608743728
-645.65195302,1.33582971066,31.393446365,-1.75199683619,-7.9803594308
-695.398107515,2.37088060716,23.2057643359,-6.74194106249,9.93619823871
-748.258835499,3.35954069789,13.5178332026,-9.1559096219,20.055950194
-804.38937238,4.24959633271,2.99851634331,-7.85075758731,17.1484372526
-863.950354909,4.99425557676,-7.6410025781,-3.04306483836,2.32909954003
-927.107844363,5.55423140021,-17.7008660744,3.77755453022,-15.3584113288
-994.033355652,5.8994137595,-26.5424870718,10.347895822,-21.8353912715
-1064.90389457,6.0100662746,-33.6309144943,14.3753580043,-9.64969211631
-1139.9020119,5.87750062255,-38.5668091086,14.2808754398,11.6668910674
-1219.21588201,5.50420830244,-41.1063541123,9.72941176723,21.9892908612
-1303.03940363,4.90346528133,-41.1685044146,1.81728528756,11.1111422847
-1391.5723114,4.09845805947,-38.8300406463,-7.16452842184,-9.4713995336
-1485.02028468,3.12100134731,-34.3099207411,-14.4061728205,-18.8040856799
-1583.59504535,2.00992779731,-27.9452864464,-17.5548037709,-9.21225516613
-1687.51444051,0.809235927201,-20.1620051336,-15.6442481442,7.01968127607
-1797.00251102,-0.433916275223,-11.4427686713,-9.54718281842,13.380756501
-1912.28955119,-1.67128703697,-2.29554526244,-1.6695844728,6.82495378817
-2033.6121652,-2.85561168676,6.7753962299,5.05931541638,-2.59330830723
-2161.21332293,-3.94256601247,15.2944421947,8.47771764273,-6.01987726705
-2295.34241599,-4.89255413865,22.8349108726,8.14122736749,-4.50176550832
-2436.25531424,-5.67225262865,29.0346504649,5.43323983107,-3.32152401149
-2584.21442385,-6.2558553333,33.6074230695,2.7519842389,-2.81117455608
-2739.48874706,-6.62597663914,36.350786723,2.1829805162,0.999765501498
-2902.35394348,-6.77418580337,37.1511888986,4.34498797959,7.97564668022
-3073.0923901,-6.70115811256,35.986812772,8.02000884456,11.0160098059
-3251.99323372,-6.41644141317,32.928405802,10.7677888832,4.15120993283
-3439.35243154,-5.93785453162,28.1378911057,10.1949701657,-8.57245293481
-3635.47277173,-5.29054537839,21.8642541366,5.23828736882,-15.4468672711
-3840.66385153,-4.50573637799,14.4361199442,-3.14651715806,-9.07527620315
-4055.2419814,-3.61918961825,6.25042269767,-12.2365269874,5.22104073047
-4279.52999102,-2.66944540087,-2.24346149573,-18.6890712337,14.1722384965
-4513.85692941,-1.69591710244,-10.56461888,-20.0973746586,10.0012912455
-4758.55766761,-0.736949413044,-18.2265764325,-16.1805478379,-1.66204886843
-5013.97242957,0.172033361956,-24.7676611967,-8.95268323275,-8.32922787987
-5280.44629049,1.0001549261,-29.7840909606,-1.70799553395,-4.5951325267
-5558.3286768,1.72237685553,-32.9630000529,2.74147222356,2.5516100184
-5847.97288527,2.32037624942,-34.1116482427,3.67928782477,2.99556581605
-6149.73562778,2.78297395748,-33.1787606869,2.98556559898,-4.11838028395
-6463.97661134,3.10610055256,-30.2644925685,4.05299634849,-9.47340790327
-6791.0581724,3.29230506752,-25.6167325284,9.55258871481,-4.51863881394
-7131.34498342,3.3498394231,-19.6129793342,19.3059990405,8.64238859269
-7485.20383176,3.29139391633,-12.7286053793,29.6506379074,18.6185454584
-7853.00344594,3.13260362919,-5.49391145678,34.9012747098,14.9047736584
-8235.11432976,2.8904703444,1.55600570867,30.2377191315,-2.83055796643
-8631.90856823,2.58184085882,7.9331143007,14.4257731043,-23.1113700335
-9043.75957674,2.22206475592,13.2437860842,-9.14539203535,-29.4791333655
-9471.04176776,1.82393402849,17.2255214123,-33.6487767078,-12.7570634835
-9914.13010656,1.39698584692,19.7681065948,-51.5589860318,18.5162666308
-10373.3995228,0.947225647087,20.9161745899,-57.5534701511,40.1391380288
-10849.2241459,0.477295355785,20.8525168857,-50.2756597512,30.7739192065
-11341.9763346,-0.0129253856171,19.8640284691,-32.3669910402,-6.27349611247
-11852.0254797,-0.525334279001,18.2945402478,-9.0344679599,-41.003467885
-12379.7365616,-1.06232183712,16.4906738474,13.9999738877,-42.0588993437
-12925.4684555,-1.62530039448,14.7479835337,32.2409002172,-7.38660862329
-13489.5719805,-2.21318043289,13.2648536543,43.2742641901,31.9928351056
-14072.387694,-2.82093479315,12.1108753591,46.6913532428,41.4511851369
-14674.2434295,-3.43838501761,11.2147646489,43.4439448069,15.8375699291
