delta,theta,alpha,beta,gama,Color
-6669.661101,4.956062211,-1.890116968,-17.40614752,-14.53105778,blue
-7046.759588,0.554245738,-3.947520286,-12.98737329,-2.26125238,blue
-7441.31997,-3.939991264,-5.692311164,-3.691466798,14.1175123,blue
-7853.971575,-8.410098751,-7.13091185,6.172954814,16.46901704,blue
-8285.359056,-12.73826424,-8.281235174,12.09669919,1.715290804,blue
-8736.14238,-16.80872367,-9.160811984,11.46461886,-15.25045826,blue
-9206.996765,-20.51107035,-9.776902257,4.80985075,-18.05690317,blue
-9698.612556,-23.7434517,-10.12004345,-4.463770664,-5.529100282,blue
-10211.69503,-26.41555444,-10.16210688,-11.80359919,9.390466493,blue
-10746.96416,-28.45128939,-9.8593423,-13.79153276,14.79866789,blue
-11305.15426,-29.79109536,-9.160134048,-9.780914483,10.26037299,blue
-11887.01365,-30.39378927,-8.01642424,-2.043648616,2.456401002,blue
-12493.30419,-30.23790777,-6.397198031,5.565054667,-4.661654605,blue
-13124.80082,-29.32250832,-4.30209277,9.628628973,-11.20639916,blue
-13782.29102,-27.66741465,-1.773009438,8.810792739,-14.77778093,blue
-14466.57433,-25.31289887,1.098403465,4.354561789,-9.11705736,blue
-15178.46173,-22.31879566,4.169234564,-0.704736332,6.771257969,blue
-15918.7751,-18.76305664,7.250885407,-3.171374496,21.42797394,blue
-16688.34658,-14.73977426,10.12182706,-1.375214499,19.48686695,blue
-17488.01794,-10.3567218,12.54657009,3.906953506,-0.348915024,blue
-18318.63987,-5.732467978,14.29897282,9.76995067,-20.21380115,blue
-19181.07131,-0.993133291,15.18732409,12.60981592,-20.69438683,blue
-20076.17858,3.731134137,15.07820724,9.960710428,-2.498064405,blue
-21004.83464,8.309873783,13.91607345,1.817696336,14.14781107,blue
-21967.91804,12.61612392,11.73581359,-9.205506878,12.80529012,blue
-22966.31195,16.53022971,8.666338351,-18.95519992,-0.999719426,blue
-24000.90293,19.94354202,4.924117305,-23.54605451,-8.529556455,blue
-25072.57958,22.76188809,0.796666182,-21.07571773,-1.694422387,blue
-26182.23109,24.90868043,-3.382941466,-12.47406552,8.131178101,blue
-27330.74555,26.3275279,-7.268302991,-1.082056343,6.3768036,blue
-28519.0082,26.98422952,-10.53528992,8.888498964,-5.463522188,blue
-29747.89947,26.86806274,-12.91682094,14.31536027,-12.38874919,blue
-31018.29288,25.99231193,-14.23235874,14.57127342,-5.84914417,blue
-32331.05277,24.39401023,-14.40818567,11.60996105,5.626925268,blue
-33687.03171,22.13289068,-13.4856464,8.6470796,8.529628639,blue
-35087.06785,19.28956357,-11.61610537,8.141993577,2.121723637,blue
-36531.98188,15.96296192,-9.043050787,10.23140192,-2.009606884,blue
-38022.57382,12.26713324,-6.073288185,12.57228348,2.737174836,blue
-39559.61945,8.327493614,-3.040441534,11.74873518,7.840903083,blue
-41143.86652,4.276682952,-0.265032996,5.435392808,1.054958584,blue
-42776.03039,0.250158801,1.983844933,-5.988256408,-15.06552609,blue
-44456.78951,-3.618349811,3.520100525,-19.34485598,-22.27561375,blue
-46186.78042,-7.201411386,4.261095766,-30.08132923,-6.887624263,blue
-47966.59236,-10.38235429,4.234279218,-34.30097731,21.56644063,blue
-49796.76154,-13.05948123,3.569326459,-30.29753658,35.95025984,blue
-51677.76499,-15.14988519,2.477189997,-18.94525959,18.30686841,blue
-53610.01389,-16.59270585,1.219315668,-3.006831829,-19.2492981,blue
-1.83E-06,-1.83E-06,-1.90E-05,-0.004525665,-0.014839856,red
-2.26E-05,-2.24E-05,-0.000224691,-0.044955342,-0.097244222,red
-0.000141963,-0.000139051,-0.001330033,-0.213568248,-0.230480684,red
-0.00060841,-0.00058727,-0.00530336,-0.642742823,-0.084781605,red
-0.002017332,-0.001912456,-0.016116358,-1.351102132,0.765546362,red
-0.005550782,-0.005148815,-0.039954555,-2.009155767,1.793928774,red
-0.013254241,-0.011980131,-0.084307661,-1.860902293,1.082042057,red
-0.02832088,-0.024833519,-0.155686788,-0.041274483,-2.527880784,red
-0.055355603,-0.046864688,-0.256219898,3.743936156,-6.282005916,red
-0.100595411,-0.081807126,-0.379874542,8.568899684,-4.563362502,red
-0.172066117,-0.133673175,-0.509376854,12.20992003,4.402514462,red
