lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
9931,26750,11556,20735,5741,1622,124621,42465,54,27
258594,90251,46770,34865,21972,20667,825124,307211,67,29
16719,20101,10394,5282,3887,1940,470638,103177,66,29
59930,31866,21423,9870,3229,2490,206715,72458,63,14
144144,170511,161494,52592,89862,16853,1131090,516559,63,40
1661304,854638,1141355,534890,250907,109222,3695915,1357938,64,53
137848,108863,42611,69389,10427,11673,1208174,414574,87,47
137848,108863,42611,69389,10427,11673,1208174,414574,87,47
26162,24336,12409,10933,5826,8493,1068698,40417,56,69
15748,7018,19651,6724,4218,6799,821966,204019,53,56
15748,7018,19651,6724,4218,6799,821966,204019,53,56
25968,18201,9793,10099,9285,3978,1742754,154078,37,21
9081,9594,14740,13176,6209,1915,265730,37724,54,29
20880,12540,2462,5556,7625,3189,171007,47913,63,34
11675,31956,11229,15556,2404,2958,421767,52793,47,48
35707,115235,100852,110219,33113,39056,832496,374245,57,74
35707,115235,100852,110219,33113,39056,832496,374245,57,74
9728,14221,11174,2642,1780,802,774986,19238,56,54
23377,54911,19831,35590,33578,6031,908206,238093,47,44
28228,10191,17972,28621,19427,6980,2604972,95485,48,57
171332,170938,120309,112452,62265,46461,2948693,325995,51,51
363256,337100,222803,219687,68944,8480,2125522,977237,70,54
126966,68440,71542,44626,6485,5612,247158,325316,63,56
195624,199343,71725,42377,15428,4667,939056,313917,60,47
76974,59606,48174,14377,13034,10771,317339,136237,60,47
147084,150242,37842,61190,25718,13129,1312898,296259,69,50
147084,150242,37842,61190,25718,13129,1312898,296259,69,50
147084,150242,37842,61190,25718,13129,1312898,296259,69,50
12781,18080,29616,29351,17193,8207,471227,81372,40,66
224752,93766,120227,72120,44056,47278,554116,155558,56,67
12754,76776,19311,18641,12441,5202,326357,98527,64,78
28523,19188,20729,32117,18269,4287,422480,42315,69,64
28523,19188,20729,32117,18269,4287,422480,42315,69,64
11841,47085,7370,26189,20352,1545,703094,145294,63,74
11841,47085,7370,26189,20352,1545,703094,145294,63,74
11841,47085,7370,26189,20352,1545,703094,145294,63,74
14101,13441,26747,40338,20408,8541,894759,99980,44,100
14101,13441,26747,40338,20408,8541,894759,99980,44,100
134954,21989,209385,179898,34079,24475,1837295,1068719,35,88
134954,21989,209385,179898,34079,24475,1837295,1068719,35,88
7049,9054,32722,5915,4774,7130,802730,171773,30,50
427045,136822,327284,134242,78804,26569,1136136,852706,40,34
26920,15477,6832,9674,8866,717,314000,31007,64,54
49384,37929,61311,33286,21746,2972,641001,34804,69,53
2818,45068,6640,18129,3235,1306,161495,43863,64,44
2818,45068,6640,18129,3235,1306,161495,43863,64,44
8184,5243,8221,13976,8492,3148,565772,87488,38,61
8184,5243,8221,13976,8492,3148,565772,87488,38,61
126099,151605,40995,39517,29220,13457,2038626,530022,63,51
322201,594457,194473,150230,101069,62360,607143,360124,66,40
322201,594457,194473,150230,101069,62360,607143,360124,66,40
322201,594457,194473,150230,101069,62360,607143,360124,66,40
322201,594457,194473,150230,101069,62360,607143,360124,66,40
4699,4615,9209,9473,6572,1379,166231,104745,8,21
76820,28830,24792,28833,16273,11591,625619,270308,21,29
36141,14912,34464,16059,25078,2458,865144,659491,35,24
36141,14912,34464,16059,25078,2458,865144,659491,35,24
49317,26919,16467,23874,8468,4954,659014,74228,44,38
109987,9992,13729,15391,7724,4053,945377,91633,67,54
109987,9992,13729,15391,7724,4053,945377,91633,67,54
9445,9989,7771,5807,7572,1641,804999,28188,66,38
15922,20830,19925,20013,11429,5589,820831,126523,64,47
26825,17055,33334,15895,13425,4236,318446,94380,44,51
62710,164236,50328,49295,27787,8753,1151317,329243,54,44
43791,38042,59359,53330,30660,13541,3716176,1208870,35,43
28986,53108,7896,21149,4070,3051,606311,142190,38,21
13904,10660,24076,11213,20199,4225,1639103,69476,27,56
129196,89540,79971,103324,29556,18822,2224560,424714,24,61
129196,89540,79971,103324,29556,18822,2224560,424714,24,61
68788,38441,50730,18700,25132,16524,1033461,233817,40,20
53442,24845,84438,60156,63372,6657,1641705,160159,54,35
53442,24845,84438,60156,63372,6657,1641705,160159,54,35
53442,24845,84438,60156,63372,6657,1641705,160159,54,35
155458,68825,55203,116677,32134,18547,3518981,1303401,47,37
155458,68825,55203,116677,32134,18547,3518981,1303401,47,37
47461,67308,155918,92898,33527,7496,1816600,319723,47,50
19476,18238,16983,9543,15834,2845,1835322,69164,35,47
31516,33776,11604,10983,13019,7420,1072699,187575,38,43
335527,150417,167121,204361,133393,40634,1257348,802892,56,43
26836,16511,5783,11348,7237,2868,1143155,106094,48,40
26836,16511,5783,11348,7237,2868,1143155,106094,48,40
26836,16511,5783,11348,7237,2868,1143155,106094,48,40
238634,47155,34720,19590,10906,7209,1417973,64895,54,24
15277,9692,5714,5426,6992,1147,152743,98497,50,14
30753,74243,96359,41813,6316,10861,642011,236449,56,14
39031,7533,29353,68468,27494,18757,2076383,128987,50,57
39031,7533,29353,68468,27494,18757,2076383,128987,50,57
39031,7533,29353,68468,27494,18757,2076383,128987,50,57
39031,7533,29353,68468,27494,18757,2076383,128987,50,57
10527,36767,16914,26880,7895,9107,286831,115969,14,54
1849,3032,3356,5713,2706,1346,204311,33592,20,47
143798,31410,19764,68934,95425,7707,1305418,326325,56,61
98940,41234,19389,31886,31482,6918,1226594,96792,67,57
98940,41234,19389,31886,31482,6918,1226594,96792,67,57
166700,108854,84102,134371,54438,34758,1458832,444060,54,40
18822,31182,49510,13175,9597,3863,1130724,55715,60,34
5587,9556,3537,2848,4731,1256,178714,35796,38,23
74970,22164,5552,5078,12308,8234,166222,53543,63,23
